IL_KOD,IL,TEORIK_POTANSIYEL,DEVREDE,INSAAT,LISANS_ALINAN,ON_LISANS,TOPLAM
10,BALIKESIR,13.827,1023,187,104,228,1542
17,CANAKKALE,13013,300,89,400,294,1083
35,IZMIR,11854,1269,264,69,43,1645
45,MANISA,5302,629,1,10,0,640
55,SAMSUN,5222,0,52,9,0,61
48,MUGLA,5171,185,59,0,25,269
59,TEKIRDAG,4627,153,49,19,60,281
34,ISTANBUL,4177,223,116,277,60,676
16,BURSA,3882,119,4,0,50,173
22,EDIRNE,3470,167,27,0,30,224
31,HATAY,3414,360,27,33,50,470
39,KIRKLARELI,3079,160,11,150,30,351
60,TOKAT,3002,128,1,0,145,274
9,AYDIN,2524,221,20,209,40,490
52,ORDU,2276,0,0,10,0,10
46,KAHRAMANMARAS,2072,24,94,0,50,168
38,KAYSERI,1885,264,8,0,0,272
42,KONYA,1860,7,194,63,80,344
58,SIVAS,1642,150,0,37,0,187
57,SINOP,1491,0,0,5,80,85
32,ISPARTA,1423,60,0,0,40,100
44,MALATYA,1395,0,0,10,0,10
5,AMASYA,1200,106,15,0,0,121
2,ADIYAMAN,1197,25,0,0,60,85
7,ANTALYA,1170,0,0,0,40,40
66,YOZGAT,1076,0,5,0,100,105
23,ELAZIG,1028,0,0,0,0,0
42,KARAMAN,934,7,0,40,40,87
1,ADANA,899,0,0,0,0,0
3,AFYONKARAHISAR,860,227,36,88,120,471
80,OSMANIYE,718,235,0,0,0,235
21,DIYARBAKIR,635,0,0,0,0,0
77,YOLAVA,533,84,50,0,0,134
37,KASTAMONU,515,0,0,0,32,32
47,MARDIN,509,0,0,0,0,0
24,ERZINCAN,383,0,0,0,0,0
41,KOCAELI,334,10,294,0,50,354
33,ICEL,250,10,280,0,10,300
18,CANKIRI,315,0,0,0,30,30
11,BILECIK,309,39,41,90,50,220
27,GAZIATEP,267,86,0,0,0,86
20,DENIZLI,239,0,0,66,0,66
43,KUTAHYA,190,0,0,0,0,0
54,SAKARYA,180,0,0,70,50,120
40,KIRSEHIR,168,168,0,0,110,278
28,GIRESUN,160,0,0,0,0,0
19,CORUM,160,0,0,0,0,0
67,ZONGULDAK,156,0,0,120,65,185
14,BOLU,120,0,0,0,0,0
6,ANKARA,117,0,0,0,0,0
78,KARABUK,80,0,0,0,80,80
74,BARTIN,73,0,0,0,0,0
51,NIGDE,62,0,0,0,0,0
12,BINGOL,62,0,0,0,0,0
15,BURDUR,61,0,1,0,50,51
64,USAK,58,54,3,0,0,57
4,AGRI,57,0,0,0,0,0
25,ERZURUM,50,0,0,0,50,50
65,VAN,5,0,0,0,50,50
26,ESKISEHIR,50,0,39,0,50,89
13,BITLIS,41,0,0,0,0,0
36,KARS,40,0,0,0,40,40
79,KILIS,40,0,0,0,40,40
71,KIRIKKALE,40,0,0,0,40,40
61,TRABZON,30,0,0,0,30,30
30,HAKKARI,29,0,0,0,0,0
56,SIIRT,15,0,0,0,0,0
62,TUNCELI,13,0,0,0,0,0
8,ARTVIN,10,0,0,0,0,0
75,ARDAHAN,9,0,0,0,0,0
72,BATMAN,8,0,0,0,0,0
50,NEVSEHIR,8,0,0,0,0,0
76,IGDIR,2,0,0,0,0,0
29,GUMUSHANE,1,0,0,0,0,0
63,SANLIURFA,1,0,0,0,0,0
68,AKSARAY,0,0,0,0,0,0
69,BAYBURT,0,0,0,0,0,0
49,MUS,0,0,0,0,0,0
53,RIZE,0,0,0,0,0,0
73,SIRNAK,0,0,0,0,0,0
