SANTRAL_ADI,IL_KOD,IL,FIRMA,KURULU_GUC
SOMA_RES,45,MANISA,POLAT_ENERJI,240
DINAR_RES,3,AFYONKARAHISAR,GURIS_HOLDING,200
GEYCEK_RES,40,KIRSEHIR,POLAT_ENERJI,168
BALIKESIR_RES,10,BALIKESIR,ENERJISA_ELEKTRIK,143
OSMANIYE_GOKCEDAG_RES,80,OSMANIYE,ZORLU_ENERJI,135
KANGAL_RES,58,SIVAS,ECE_TUR_INSAAT,128
BERGAMA_RES,35,IZMIR,BILGIN_ENERJI,120
BILGIN_ENERJI_SOMA_RES,45,MANISA,BILGIN_ENERJI,120
KARABURUN_RES,35,IZMIR,ALTO_ENERJI,120
SAMLI_RES,10,BALIKSEHIR,AKSA_ENERJI,114
CATALCA_RES,34,ISTANBUL,SANKO_ENERJI,93
SAH_RES,10,BALIKESIR,DOGAN_ENERJI,93
BANDIRMA_KURSUNLU_RES,10,BALIKESIR,BORUSAN_EnBW_ENERJI,87
KILLIK_RES,60,TOKAT,EKSIM_ENERJI,85
KAYSERI_YAHYALI_RES,38,KAYSERI,PC_ENERJI,83
EDINCIK,10,BALIKESIR,EDINCIK_ENERJI,77
ZIYARET_RES,31,HATAY,FINA_ENERJI,76
SUSURLUK_RES,10,BALIKESIR,EKSIM_ENERJI,73
AKSU_RES,38,KAYSERI,AYEN_ENERJI,72
MUGLA_RES,48,MUGLA,GURIS_HOLDING,70
BERGES_RES,35,IZMIR,DOST_ENERJI,70
POYRAZ_RES,10,BALIKESIR,POLAT_ENERJI,67
KAYADUZU_RES,5,AMASYA,EKSIM_ENERJI,64
KARTALDAGI_RES,27,GAZIANTEP,BORUSAN_EnBW_ENERJI,63
BALABANLI_RES,59,TEKIRDAG,BORUSAN_EnBW_ENERJI,61
ICDAS_BIGA_RES,17,CANAKKALE,ICDAS_ENERJI,60
SEBENOBA_RES,31,HATAY,FERNAS_ENERJI,60
SULOGLU_RES,22,EDIRNE,STEAM_WIND_ENERJI,60
ULUBORLU_RES,32,ISPARTA,FINA_ENERJI,60
YUNTDAG_RES,35,IZMIR,DOST_ENERJI,60
CERCIKAYA_RES,31,HATAY,ZT_ENERJI,57
MAZI_1_RES,35,IZMIR,DEMIRER_ENERJI,56
INTEPE_RES,17,CANAKKALE,DEMIRER_ENERJI,56
AIRRES_4_RES,39,KIRKLARELI,ACARSOY_ENERJI,55
SAYALAR_RES,45,MANISA,POLAT_ENERJI,54
USAK_RES,64,USAK,BEREKET_ENERJI,54
YALOVA_RES,77,YALOVA,BEREKET_ENERJI,54
SANCAK_ENERJI_YAHYALI_RES,38,KAYSERI,SANCAK_ENERJI,53
DUZOVA_RES,35,IZMIR,FINA_ENERJI,52
SUBASI_RES,22,EDIRNE,GURIS_HOLDING,51
KUYUCAK_RES,45,MANISA,DEMIRER_ENERJI,50
BANDIRMA_RES,10,BALIKESIR,BILGIN_ENERJI,50
HARMANLIK_RES,16,BURSA,BORUSAN_ENBW_ENERJI,50
HASANBEYLI_RES,80,OSMANIYE,EKSIM_ENERJI,50
KAVAKLI_RES,10,BALIKESIR,ERCIYAS_HOLDING,50
KORU_RES,17,CANAKKALE,BORUSAN_EnBW_ENERJI,50
MUT_RES,,MERSIN,BORUSAN_EnBW_ENERJI,50
SARITEPE_RES,80,OSMANIYE,ZORLU_ENERJI,50
TIRE_RES,35,IZMIR,TURKERLER_HOLDING,50
ZEYTINELI_RES,35,IZMIR,BILGIN_ENERJI,50
BELEN_RES,31,HATAY,GURIS_HOLDING,48
KIRIK_RES,35,IZMIR,OZBOLAT_ENERJI_GRUBU,48
BAGARASI_RES,9,AYDIN,ERDEM_HOLDING_ENERJI_GRUBU,46
KIRKAGAC_RES,45,MANISA,GAMA_ENERJI,45
KURTKAYA_RES,38,KAYSERI,ARE_ELEKTRIK_URETM,45
SILIVRI_RES,34,ISTANBUL,EKSIM_ENERJI,45
SOKE_RES,9,AYDIN,BEREKET_ENERJI,45
CAMSEKI_RES,17,CANAKKALE,DEMIRER_ENERJI,44
