SANTRAL_ADI,PLAKA_NO,IL,FIRMA,KURULU_GUC
SOMA_RES,45,MANISA,POLAT_ENERJI,240,00
DINAR_RES,03,AFYONKARAHISAR,GURIS_HOLDING,200,00
GEYCEK_RES,40,KIRSEHIR,POLAT_ENERJI,168,00
BALIKESIR_RES,10,BALIKESIR,ENERJISA_ELEKTRIK,143,00
OSMANIYE_GOKCEDAG_RES,80,OSMANIYE,ZORLU_ENERJI,135,00
KANGAL_RES,58,SIVAS,ECE_TUR_INSAAT,128,00
BERGAMA_RES,35,IZMIR,BILGIN_ENERJI,120,00
BILGIN_ENERJI_SOMA_RES,45,MANISA,BILGIN_ENERJI,120,00
KARABURUN_RES,35,IZMIR,ALTO_ENERJI,120,00
SAMLI_RES,10,BALIKSEHIR,AKSA_ENERJI,114,00
CATALCA_RES,34,ISTANBUL,SANKO_ENERJI,93,00
SAH_RES,10,BALIKESIR,DOGAN_ENERJI,93,00
BANDIRMA_KURSUNLU_RES,10,BALIKESIR,BORUSAN_EnBW_ENERJI,87,00
KILLIK_RES,60,TOKAT,EKSIM_ENERJI,85,00
KAYSERI_YAHYALI_RES,38,KAYSERI,PC_ENERJI,83,00
EDINCIK,10,BALIKESIR,EDINCIK_ENERJI,77,00
ZIYARET_RES,31,HATAY,FINA_ENERJI,76,00
SUSURLUK_RES,10,BALIKESIR,EKSIM_ENERJI,73,00
AKSU_RES,38,KAYSERI,AYEN_ENERJI,72,00
MUGLA_RES,48,MUGLA,GURIS_HOLDING,70,00
BERGES_RES,35,IZMIR,DOST_ENERJI,70,00
POYRAZ_RES,10,BALIKESIR,POLAT_ENERJI,67,00
KAYADUZU_RES,05,AMASYA,EKSIM_ENERJI,64,00
KARTALDAGI_RES,27,GAZIANTEP,BORUSAN_EnBW_ENERJI,63,00
BALABANLI_RES,59,TEKIRDAG,BORUSAN_EnBW_ENERJI,61,00
ICDAS_BIGA_RES,17,CANAKKALE,ICDAS_ENERJI,60,00
SEBENOBA_RES,31,HATAY,FERNAS_ENERJI,60,00
SULOGLU_RES,22,EDIRNE,STEAM_WIND_ENERJI,60,00
ULUBORLU_RES,32,ISPARTA,FINA_ENERJI,60,00
YUNTDAG_RES,35,IZMIR,DOST_ENERJI,60,00
CERCIKAYA_RES,31,HATAY,ZT_ENERJI,57,00
MAZI_1_RES,35,IZMIR,DEMIRER_ENERJI,56,00
INTEPE_RES,17,CANAKKALE,DEMIRER_ENERJI,56,00
AIRRES_4_RES,39,KIRKLARELI,ACARSOY_ENERJI,55,00
SAYALAR_RES,45,MANISA,POLAT_ENERJI,54,00
USAK_RES,64,USAK,BEREKET_ENERJI,54,00
YALOVA_RES,77,YALOVA,BEREKET_ENERJI,54,00
SANCAK_ENERJI_YAHYALI_RES,38,KAYSERI,SANCAK_ENERJI,53,00
DUZOVA_RES,35,IZMIR,FINA_ENERJI,52,00
SUBASI_RES,22,EDIRNE,GURIS_HOLDING,51,00
KUYUCAK_RES,45,MANISA,DEMIRER_ENERJI,50,00
BANDIRMA_RES,10,BALIKESIR,BILGIN_ENERJI,50,00
HARMANLIK_RES,16,BURSA,BORUSAN_ENBW_ENERJI,50,00
HASANBEYLI_RES,80,OSMANIYE,EKSIM_ENERJI,50,00
KAVAKLI_RES,10,BALIKESIR,ERCIYAS_HOLDING,50,00
KORU_RES,17,CANAKKALE,BORUSAN_EnBW_ENERJI,50,00
MUT_RES,33,ICEL,BORUSAN_EnBW_ENERJI,50,00
SARITEPE_RES,80,OSMANIYE,ZORLU_ENERJI,50,00
TIRE_RES,35,IZMIR,TURKERLER_HOLDING,50,00
ZEYTINELI_RES,35,IZMIR,BILGIN_ENERJI,50,00
BELEN_RES,31,HATAY,GURIS_HOLDING,48,00
KIRIK_RES,35,IZMIR,OZBOLAT_ENERJI_GRUBU,48,00
BAGARASI_RES,09,AYDIN,ERDEM_HOLDING_ENERJI_GRUBU,46,00
KIRKAGAC_RES,45,MANISA,GAMA_ENERJI,45,00
KURTKAYA_RES,38,KAYSERI,ARE_ELEKTRIK_URETM,45,00
SILIVRI_RES,34,ISTANBUL,EKSIM_ENERJI,45,00
SOKE_RES,09,AYDIN,BEREKET_ENERJI,45,00
CAMSEKI_RES,17,CANAKKALE,DEMIRER_ENERJI,44,00
TEKIRDAG_RES,59,TEKIRDAG,BESIKTEPE_ENERJI,44,00
SAMURLU_RES,35,IZMIR,POLAT_ENERJI,44,00
AKHISAR_RES,45,MANISA,KARESI_ENERJI,44,00
CANTAL_RES,34,ISTANBUL,BOYDAK_ENERJI,43,00
AMASYA_RES,05,AMASYA,MINA_ENERJI,42,00
DATCA_RES,48,MUGLA,DEMIRER_ENERJI,42,00
ODEMIS_RES,35,IZMIR,ERDEM_HOLDING_ENERJI_GRUBU,41,00
BANDIRMA_3_RES,10,BALIKESIR,BURSA_TEMIZ_ENERJI,41,00
DEMIRCI_RES,35,IZMIR,DEMIRCILI_RUZGAR,40,00
DAGPAZARI_RES,33,ICEL,ENERJISA_ELEKTRIK,39,00
METRISTEPE_RES,11,BILECIK,CAN_ENERJI,39,00
SENBUK_RES,31,HATAY,BAKRAS_ENERJI,38,00
UMURLAR_RES,10,BALIKESIR,YILDIRIM_GRUP,36,00
SEYITALI_RES,35,IZMIR,POLAT_ENERJI,36,00
GOKRES_2_RES,45,MANISA,GAMA_ENERJI,35,00
SENKOY_RES,31,HATAY,GURIS_HOLDING,35,00
MERSIN_RES,33,ICEL,DOGAN_ENERJI,34,00
SADILLI_RES,22,EDIRNE,FINA_ENERJI,33,00
KUREKDAGI_RES,16,BURSA,AGAOGLU_ENERJI,33,00
KOZBEYLI_RES,35,IZMIR,POLAT_ENERJI,32,00
AKBUK_RES,09,AYDIN,AYEN_ENERJI,32,00
MORDOGAN_RES,35,IZMIR,AYEN_ENERJI,31,00
MANASTIR_ESENKOY_RES,77,YALOVA,AGAOGLU_ENERJI,30,00
BEREKETLI_RES,60,TOKAT,BORUSAN_ENBW_ENERJI,30,00
FUATRES_RES,35,IZMIR,DOST_ENERJI,30,00
GERES_RES,45,MANISA,FINA_ENERJI,30,00
KAROVA_RES,48,MUGLA,MINA_ENERJI,30,00
MAZI_3_RES,35,IZMIR,BILGIN_ENERJI,30,00
POYRAZ_RES,10,BALIKESIR,MON_INSAAT_ENERJI_GRUBU,30,00
POYRAZGOLU_RES,10,BALIKESIR,DEMIRER_ENERJI,30,00
SOKE_CATALKBUK_RES,09,AYDIN,ABK_ENERJI,30,00
BALIKESIR_KELTEPE_RES,10,BALIKESIR,DEMIRER_ENERJI,30,00
CANAKKALE_RES,17,CANAKKALE,ENERJISA_ELEKTRIK,30,00
SARIKAYA_RES,59,TEKIRDAG,DEMIRER_ENERJI,29,00
AYYILDIZ_RES,10,BALIKESIR,AK_ENERJI,28,00
KARACABEY_TES,16,BURSA,BEREKET_ENERJI,28,00
SARES_RES,17,CANAKKALE,GAMA_ENERJI,28,00
